"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1102746510461038592","https://twitter.com/doshishauni_inf/status/1102746510461038592","【本日開催のイベント】
開催時期:03/05
【3/5開催】スキルアップ講座Vol.4　新メンバーを引きこむ団体づくり参加者募集
https://t.co/SMW07M9f8F","2019-03-05 01:43 +0000","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102746509299220481","https://twitter.com/doshishauni_inf/status/1102746509299220481","【本日開催のイベント】
開催時期:03/05～03/10
【3/5-3/10】同志社大学書道部卒部展「一里塚」
https://t.co/GHzEKiK9vh","2019-03-05 01:43 +0000","59.0","1.0","0.01694915254237288","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102746508120612864","https://twitter.com/doshishauni_inf/status/1102746508120612864","【本日開催のイベント】
開催時期:02/26～03/24
第17回ハリス理化学館同志社ギャラリー企画展「考古学は地域に勇気を与える―森浩一の考古学２―」
https://t.co/SGLyi34kr9","2019-03-05 01:43 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102388457391849472","https://twitter.com/doshishauni_inf/status/1102388457391849472","【本日開催のイベント】
開催時期:03/04
第6回「新ビジネス」フォーラム ～健康未来への扉を開くスポーツ・エクササイズのポテンシャル～ 開催について
https://t.co/XHtjBpfmyO","2019-03-04 02:01 +0000","61.0","1.0","0.01639344262295082","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102388456355815424","https://twitter.com/doshishauni_inf/status/1102388456355815424","【本日開催のイベント】
開催時期:02/26～03/24
第17回ハリス理化学館同志社ギャラリー企画展「考古学は地域に勇気を与える―森浩一の考古学２―」
https://t.co/SGLyi34kr9","2019-03-04 02:01 +0000","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1102015142319972353","https://twitter.com/doshishauni_inf/status/1102015142319972353","【本日開催のイベント】
開催時期:02/26～03/24
第17回ハリス理化学館同志社ギャラリー企画展「考古学は地域に勇気を与える―森浩一の考古学２―」
https://t.co/SGLyi34kr9","2019-03-03 01:17 +0000","168.0","2.0","0.011904761904761904","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1101692686312955905","https://twitter.com/doshishauni_inf/status/1101692686312955905","【本日開催のイベント】
開催時期:03/02
ナノ繊維・粒子添加複合材料研究に関する若手研究者・学生セッション2019開催－ご案内と募集－
https://t.co/PhnUEoNbHc","2019-03-02 03:56 +0000","85.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1101692685130186753","https://twitter.com/doshishauni_inf/status/1101692685130186753","【本日開催のイベント】
開催時期:03/02
一神教学際研究センター　公開講演会「ピラミッドと神殿」　開催のお知らせ
https://t.co/7oaO1GxLQ7","2019-03-02 03:56 +0000","89.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1101692683989348352","https://twitter.com/doshishauni_inf/status/1101692683989348352","【本日開催のイベント】
開催時期:02/26～03/24
第17回ハリス理化学館同志社ギャラリー企画展「考古学は地域に勇気を与える―森浩一の考古学２―」
https://t.co/SGLyi34kr9","2019-03-02 03:56 +0000","81.0","2.0","0.024691358024691357","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1101407161232457728","https://twitter.com/doshishauni_inf/status/1101407161232457728","2019-3-1
2019年度免許資格登録関係日程を公開しました
https://t.co/CdCtMwrh0e","2019-03-01 09:01 +0000","65.0","1.0","0.015384615384615385","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
