企業・団体名,合計,文科系 男子,文科系 女子,理工系,
株式会社一条工務店,5,4,,1,
ＡＮＡセールス株式会社,5,3,1,1,
株式会社オリエンタルランド,5,,4,1,
株式会社オリエントコーポレーション,5,4,1,,
オリックス株式会社,5,1,4,,
オリックス生命保険株式会社,5,3,2,,
オムロン株式会社,5,5,,,
大阪府教員,5,2,2,1,
株式会社キャリアデザインセンター,5,3,2,,
キリン株式会社,5,2,3,,
株式会社クボタ,5,2,,3,
株式会社クスリのアオキ,5,3,2,,
大和ライフネクスト株式会社,5,3,2,,
株式会社ＩＤＯＭ,5,3,2,,
グリー株式会社,5,3,1,1,
株式会社サイバーエージェント,5,3,2,,
新日鐵住金株式会社,5,3,2,,
株式会社島津製作所,5,4,1,,
シスメックス株式会社,5,1,1,3,
株式会社静岡銀行,5,1,4,,
滋賀県,5,1,4,,
住友電装株式会社,5,1,2,2,
株式会社ゼンショーホールディングス,5,2,2,1,
太陽生命保険株式会社,5,4,1,,
中国電力株式会社,5,1,3,1,
東京エレクトロン株式会社,5,1,,4,
株式会社東芝,5,1,1,3,
凸版印刷株式会社,5,,5,,
トヨタ車体株式会社,5,4,,1,
有限責任監査法人トーマツ,5,3,2,,
東海旅客鉄道株式会社,5,1,2,2,
トヨタファイナンス株式会社,5,1,4,,
株式会社ダイフク,5,2,1,2,
株式会社ＳＣＲＥＥＮホールディングス,5,2,,3,
大同生命保険株式会社,5,2,3,,
第一三共株式会社,5,2,2,1,
ダイワボウ情報システム株式会社,5,3,2,,
株式会社電通テック,5,3,2,,
株式会社名古屋銀行,5,4,,1,
西日本鉄道株式会社,5,2,3,,
日本出版販売株式会社,5,2,3,,
ニチコン株式会社,5,3,1,1,
株式会社日本アクセス,5,3,1,1,
日本基督教団,5,5,,,
阪和興業株式会社,5,2,2,1,
東日本電信電話株式会社,5,1,2,2,
パナソニックシステムソリューションズジャパン株式会社,5,3,1,1,
パナソニックエイジフリー株式会社,5,1,4,,
マツダ株式会社,5,1,,4,
ＭｅｉｊｉＳｅｉｋａファルマ株式会社,5,3,2,,
ＤＭＧ森精機株式会社,5,1,2,2,
森合精機株式会社,5,2,,3,
ヤンマー株式会社,5,2,2,1,
ライオン株式会社,5,2,2,1,
株式会社ライフコーポレーション,5,2,3,,
株式会社ワールドインテック,5,2,1,2,
株式会社阿波銀行,4,1,3,,
愛知県,4,3,1,,
有限責任　あずさ監査法人,4,1,3,,
ＡＮＡウイングス株式会社,4,,4,,
伊藤ハム株式会社,4,3,1,,
株式会社イオン銀行,4,1,3,,
ＮＥＣソリューションイノベータ株式会社,4,2,,2,
株式会社ＭＤＩ,4,3,1,,
ＮＴＴ西日本ビジネスフロント株式会社,4,2,2,,
大阪信用金庫,4,2,2,,
株式会社大塚商会,4,3,1,,
オリックス自動車株式会社,4,2,2,,
沖電気工業株式会社,4,1,2,1,
大阪府　警察（警察官・警察事務　等）,4,2,2,,
カシオ計算機株式会社,4,2,1,1,
株式会社カプコン,4,2,2,,
キヤノン株式会社,4,1,1,2,
株式会社きんでん,4,1,,3,
キヤノンマーケティングジャパン株式会社,4,3,,1,
キャタピラージャパン合同会社,4,1,,3,
株式会社紀陽銀行,4,3,1,,
国立大学法人京都大学,4,2,2,,
株式会社クレディセゾン,4,,4,,
株式会社栗本鐵工所,4,3,1,,
コニカミノルタ株式会社,4,2,,2,
コベルコシステム株式会社,4,2,1,1,
株式会社ゲオホールディングス,4,2,2,,
サンスター株式会社,4,4,,,
山九株式会社,4,,1,3,
株式会社商工組合中央金庫,4,4,,,
新日鉄住金ソリューションズ株式会社,4,1,2,1,
静岡県,4,1,3,,
滋賀県信用農業協同組合連合会,4,3,1,,
住友商事株式会社,4,3,,1,
住友電気工業株式会社,4,1,2,1,
ジョンソン・エンド・ジョンソン株式会社,4,1,1,2,
ＪＦＥ商事株式会社,4,4,,,
